90001|01002
9000101002|01002
0100290001|01002
90008|01003
9000801003|01003
0100390008|01003
90017|01004
9001701004|01004
0100490017|01004
90024|01001
9002401001|01001
0100190024|01001
90037|01005
9003701005|01005
0100590037|01005
90046|02005
9004602005|02005
0200590046|02005
90049|02004
9004902004|02004
0200490049|02004
90059|02001
9005902001|02001
0200190059|02001
90062|08007
9006208007|08007
0800790062|08007
90078|02002
9007802002|02002
0200290078|02002
90084|90084
9008402003|90084
0200390084|02003
